﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2020/21"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2022
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","First degree","Foundation degree","HNC/HND","Professional graduate certificate in education","Other undergraduate","Total undergraduate"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","15","0","0","0","5","20"
"10020416","Mattersey Hall","5","0","0","0","0","5"
"10030776","St Mellitus College","75","0","0","0","45","120"
"10004320","The Metanoia Institute","45","0","0","0","5","45"
"10004351","Middlesex University","3,530","20","0","0","635","4,190"
"10032277","The Minster Centre","0","0","0","0","0","0"
"10004450","Mountview Academy of Theatre Arts","100","0","0","0","0","100"
"10023777","Mont Rose College of Management and Sciences","0","0","330","0","130","460"
"10023454","Moorlands College","50","0","0","0","10","55"
"10000216","All Nations Christian College","15","0","0","0","5","20"
"10004538","Nazarene Theological College","15","0","0","0","10","25"
"10030129","Nelson College London Ltd","135","25","375","0","0","535"
"10023456","Newbold College","10","0","0","0","10","20"
"10007799","Newcastle University","5,745","0","0","5","165","5,920"
"10048199","New College of the Humanities","65","0","0","0","0","65"
"10007832","Newman University","460","50","0","10","95","615"
"10045289","St Nicholas Montessori Training Limited","0","5","0","0","5","10"
"10008397","Norland College","90","0","0","0","0","90"
"10007138","The University of Northampton","2,415","195","30","0","215","2,860"
"10009614","Grŵp NPTC Group","0","0","80","0","0","80"
"10004740","Northern College of Acupuncture","15","0","0","0","0","15"
"10001282","University of Northumbria at Newcastle","5,070","0","0","15","715","5,805"
"10004775","Norwich University of the Arts","645","0","0","0","75","720"
"10007154","University of Nottingham","7,680","0","0","5","445","8,130"
"10004797","The Nottingham Trent University","7,690","255","40","85","690","8,755"
"10007773","The Open University","16,655","270","0","0","6,770","23,695"
"10023445","ICOM","20","0","0","0","5","30"
"10004930","Oxford Brookes University","3,445","305","0","10","360","4,115"
"10020439","Oxford Business College","5","0","15","0","0","20"
"10007774","The University of Oxford","3,255","0","0","15","165","3,440"
"10006243","St Patrick's International College","0","0","350","0","0","350"
